dataset,model,seed,n_minority_pool,true_type_b,oof_disagree,overest_ratio,tbdc_cap,prop_cap,tbdc_cap_frac,fpr_10pct_depth,fpr_safe
pima,lr,13,86,40,82,2.05,42,9,0.488,0.0,False
pima,hgb,13,86,40,74,1.85,38,9,0.442,0.023,False
pima,lr,29,75,31,71,2.29,42,7,0.56,0.107,False
pima,hgb,29,75,31,69,2.226,40,7,0.533,0.013,False
pima,lr,47,85,34,81,2.382,42,8,0.494,0.024,False
pima,hgb,47,85,34,72,2.118,37,8,0.435,0.024,False
pima,lr,61,80,36,75,2.083,41,8,0.512,0.025,False
pima,hgb,61,80,36,71,1.972,39,8,0.487,0.038,False
pima,lr,83,87,41,82,2.0,41,9,0.471,0.207,False
pima,hgb,83,87,41,71,1.732,36,9,0.414,0.149,False
credit-g,lr,13,120,56,110,1.964,57,12,0.475,0.033,False
credit-g,hgb,13,120,56,109,1.946,56,12,0.467,0.008,False
credit-g,lr,29,119,48,114,2.375,59,12,0.496,0.017,False
credit-g,hgb,29,119,48,109,2.271,57,12,0.479,0.0,False
credit-g,lr,47,112,54,111,2.056,61,11,0.545,0.0,False
credit-g,hgb,47,112,54,105,1.944,58,11,0.518,0.0,False
credit-g,lr,61,104,39,98,2.513,58,10,0.558,0.01,False
credit-g,hgb,61,104,39,91,2.333,54,10,0.519,0.077,False
credit-g,lr,83,110,44,104,2.364,59,11,0.536,0.018,False
credit-g,hgb,83,110,44,95,2.159,54,11,0.491,0.009,False
yeast,lr,13,214,102,194,1.902,99,21,0.463,0.0,False
yeast,hgb,13,214,102,170,1.667,87,21,0.407,0.009,False
yeast,lr,29,215,102,206,2.02,104,21,0.484,0.005,False
yeast,hgb,29,215,102,179,1.755,91,21,0.423,0.005,False
yeast,lr,47,222,102,200,1.961,98,22,0.441,0.063,False
yeast,hgb,47,222,102,171,1.676,84,22,0.378,0.027,False
yeast,lr,61,214,103,206,2.0,105,21,0.491,0.121,False
yeast,hgb,61,214,103,177,1.718,90,21,0.421,0.033,False
yeast,lr,83,201,86,187,2.174,101,20,0.502,0.08,False
yeast,hgb,83,201,86,165,1.919,89,20,0.443,0.129,False
phoneme,lr,13,602,244,601,2.463,336,60,0.558,0.169,False
phoneme,hgb,13,602,244,479,1.963,268,60,0.445,0.086,False
phoneme,lr,29,631,283,631,2.23,337,63,0.534,0.231,False
phoneme,hgb,29,631,283,461,1.629,246,63,0.39,0.011,False
phoneme,lr,47,627,271,627,2.314,337,63,0.537,0.0,False
phoneme,hgb,47,627,271,489,1.804,263,63,0.419,0.005,False
phoneme,lr,61,617,257,612,2.381,334,62,0.541,0.003,False
phoneme,hgb,61,617,257,478,1.86,261,62,0.423,0.018,False
phoneme,lr,83,668,307,668,2.176,337,67,0.504,0.003,False
phoneme,hgb,83,668,307,518,1.687,261,67,0.391,0.102,False
